Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gem. slagen,[],Gemiddeld tempo,Beste tempo,Stijging,Hoogteverlies,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. GCT balans,Gem. slagen,[],Normalized Power® (NP®),L/R-balans,Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Vermogen,Max. vermogen,Totaal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Max diepte,Bodemtijd,Minimale watertemperatuur,Gastype,Oppervlakte-interval,Decompressie,Gewicht,Stroming,Oppervlakteomstandigheden,Watertype
running,2018-01-14 08:25:12,false,"Zaltbommel Hardlopen","11.17","700","50:23","155","177","4.8","181","197","4:30","3:46","12","11","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-01-06 16:26:33,false,"Zaltbommel Hardlopen","11.19","723","54:46","150","186","4.1","173","199","4:54","3:24","12","10","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-01-02 16:52:06,false,"Zaltbommel Hardlopen","12.18","741","56:27","148","163","4.1","179","192","4:38","4:10","11","11","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-12-27 10:54:42,false,"Zaltbommel Hardlopen","12.60","744","1:00:51","143","167","3.9","172","186","4:50","3:41","9","9","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-12-24 08:25:57,false,"Zaltbommel Hardlopen","10.20","633","49:40","145","172","3.9","173","199","4:52","3:45","14","13","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-12-17 07:43:33,false,"Zaltbommel Hardlopen","12.14","728","59:13","143","176","4.0","173","187","4:53","4:23","7","7","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-12-10 07:54:29,false,"Zaltbommel Hardlopen","11.45","715","1:03:48","135","163","3.1","162","221","5:34","4:04","10","9","1.11","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-11-26 07:12:54,false,"Zaltbommel Hardlopen","10.24","445","49:21","123","154","2.1","176","196","4:49","3:59","10","8","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-11-19 13:27:11,false,"Nijmegen Hardlopen","15.05","962","1:06:04","159","183","5.0","178","190","4:23","3:42","125","129","1.28","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-11-15 20:16:08,false,"Zaltbommel Hardlopen","5.97","375","32:22","133","150","2.7","162","188","5:25","4:19","11","10","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-11-14 17:46:34,false,"'s-Hertogenbosch Fietsen","16.75","376","38:56","109","128","1.6","--","--","25.8","36.2","6","9","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-11-14 07:39:18,false,"Zaltbommel Fietsen","16.79","508","40:13","124","146","1.9","--","--","25.0","33.1","8","5","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-11-12 07:32:38,false,"Zaltbommel Hardlopen","16.43","987","1:13:48","148","168","4.3","180","193","4:29","4:06","8","6","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-11-06 17:25:02,false,"'s-Hertogenbosch Fietsen","16.74","416","40:24","114","132","1.7","--","--","24.9","32.6","3","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-11-06 07:47:43,false,"Zaltbommel Fietsen","16.80","533","40:03","125","161","2.2","--","--","25.2","35.4","7","2","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-11-05 08:00:57,false,"Zaltbommel Hardlopen","11.18","729","54:38","144","170","3.7","173","185","4:53","4:32","19","18","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-10-30 17:33:33,false,"'s-Hertogenbosch Fietsen","16.74","473","39:49","120","138","1.9","--","--","25.2","34.3","4","7","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-10-30 07:23:42,false,"Zaltbommel Fietsen","16.74","481","37:43","123","139","2.0","--","--","26.6","39.1","11","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-10-29 07:15:59,false,"Zaltbommel Hardlopen","16.25","1,062","1:13:12","153","174","4.7","182","196","4:30","3:38","11","8","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-10-26 18:05:27,false,"'s-Hertogenbosch Fietsen","16.71","542","38:17","129","143","2.3","--","--","26.2","34.2","4","7","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-10-26 07:59:05,false,"Zaltbommel Fietsen","16.77","382","41:05","109","129","1.6","--","--","24.5","34.8","21","14","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-10-24 17:51:34,false,"'s-Hertogenbosch Fietsen","16.76","480","37:44","122","142","2.0","--","--","26.6","36.3","4","8","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-10-24 07:43:59,false,"Zaltbommel Fietsen","16.78","510","40:42","122","176","2.0","--","--","24.7","37.7","10","5","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-10-22 07:42:29,false,"Zaltbommel Hardlopen","20.10","1,213","1:34:31","143","158","3.7","176","184","4:42","4:03","19","18","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-10-15 07:51:42,false,"Zaltbommel Hardlopen","16.27","1,032","1:11:40","149","164","4.5","182","189","4:24","3:55","11","11","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-10-10 17:55:37,false,"'s-Hertogenbosch Fietsen","16.70","430","37:47","117","141","1.8","--","--","26.5","36.2","3","9","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-10-10 07:22:13,false,"Zaltbommel Fietsen","16.76","489","39:44","121","141","2.0","--","--","25.3","36.5","10","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-10-08 13:12:47,false,"Zaltbommel Hardlopen","15.47","1,060","1:09:50","151","162","4.5","179","187","4:31","4:16","8","8","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-10-03 17:52:23,false,"'s-Hertogenbosch Fietsen","16.71","592","38:33","126","138","2.4","--","--","26.0","35.5","5","9","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-10-03 07:42:21,false,"Zaltbommel Fietsen","16.77","590","37:46","125","139","2.8","--","--","26.6","37.0","17","14","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-10-01 07:38:12,false,"Zaltbommel Hardlopen","12.46","1,019","56:25","151","170","5.0","179","241","4:32","4:00","9","7","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-09-27 19:33:14,false,"Zaltbommel Hardlopen","10.24","901","46:38","148","171","4.2","178","203","4:33","3:42","13","13","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-09-15 09:05:08,false,"Zaltbommel Fietsen","7.44","233","19:12","132","164","2.6","--","--","23.2","29.3","5","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-09-10 07:52:25,false,"Zaltbommel Hardlopen","12.05","744","53:19","150","168","4.7","181","201","4:25","3:51","15","15","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-09-03 07:42:22,false,"Zaltbommel Hardlopen","12.37","741","55:59","145","163","4.3","179","199","4:31","4:00","6","5","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-08-30 20:39:21,false,"Zaltbommel Hardlopen","7.00","432","34:52","138","152","3.2","170","177","4:59","4:27","10","8","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
other,2017-08-26 14:06:07,false,"1/8 e triathlon","24.42","985","1:10:51","153","175","5.0","146","246","20.7","43.2","16","13","2.36","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-08-23 20:05:28,false,"Zaltbommel Hardlopen","10.24","625","57:21","137","167","3.4","159","197","5:36","3:51","9","6","1.10","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-08-20 07:31:39,false,"Zaltbommel Hardlopen","12.13","749","53:25","153","187","5.0","180","201","4:24","3:48","12","11","1.26","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-08-16 07:49:20,false,"Biot Hardlopen","4.91","390","22:39","179","192","4.9","175","182","4:37","4:18","29","3","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
swimming,2017-08-16 07:37:33,false,"Biot Zwemmen","511","116","9:05.5","147","190","2.2","--","--","1:47","0:41","2","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-08-16 07:28:31,false,"Biot Hardlopen","1.58","91","7:53.4","128","155","1.8","168","178","5:00","4:16","3","26","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-08-15 16:28:23,false,"Nice Fietsen","17.76","261","1:01:01","86","129","1.1","--","--","17.5","25.3","52","34","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-08-15 10:47:57,false,"Biot Hardlopen","4.88","309","23:36","143","189","3.4","172","184","4:50","4:14","34","11","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
open_water_swimming,2017-08-14 15:02:07,false,"Biot zwemmen 3","700","161","12:37","140","162","2.4","96","123","1:48","0:38","--","--","0.59","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
open_water_swimming,2017-08-14 13:47:52,false,"Biot zwemmen 2","675","149","12:06","136","173","2.2","114","126","1:48","0:45","--","--","0.48","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
open_water_swimming,2017-08-14 12:56:24,false,"Biot zwemmen 1","550","63","9:44","95","119","1.1","101","130","1:46","0:40","--","--","0.55","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-08-14 08:04:29,false,"Biot Hardlopen","7.44","457","36:31","140","175","3.4","172","188","4:55","4:15","39","37","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-08-10 08:39:11,false,"Biot Hardlopen","12.02","850","1:11:57","139","172","3.9","161","180","5:59","4:29","75","100","1.03","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-08-07 09:34:29,false,"Saint-Saud-Lacoussière Hardlopen","2.36","160","12:00","144","177","2.6","171","182","5:05","4:35","20","12","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
swimming,2017-08-07 09:31:12,false,"Saint-Saud-Lacoussière Zwemmen","550","--","12:00","90","91","1.0","--","--","2:11","1:16","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-08-07 09:08:36,false,"Saint-Saud-Lacoussière Hardlopen","1.69","94","9:23.3","117","125","1.6","165","175","5:33","4:56","15","15","1.09","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-08-05 17:03:28,false,"Saint-Saud-Lacoussière Hardlopen","9.99","662","49:51","144","156","4.0","172","192","4:59","4:17","65","62","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-08-04 12:56:08,false,"Saint-Saud-Lacoussière Fietsen","26.20","546","1:35:19","97","141","1.6","--","--","16.5","42.1","286","284","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
transition,2017-08-04 09:01:05,false,"Lopen-zwemmen-lopen Saint-Saud-Lacoussière ","4.07","294","30:57","120","163","2.4","141","186","7.9","16.2","22","29","0.94","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-08-03 18:04:09,false,"Saint-Saud-Lacoussière Fietsen","33.04","790","1:15:43","131","167","3.1","--","--","26.2","51.6","375","372","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
open_water_swimming,2017-08-02 13:45:33,false,"Saint-Saud-Lacoussière Overig","600","60","10:50","90","95","1.0","71","132","1:48","0:27","--","3","0.80","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-07-29 17:28:36,false,"Zaltbommel Hardlopen","16.54","1,096","1:14:27","155","171","5.0","178","199","4:30","3:57","13","11","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-07-24 17:24:34,false,"'s-Hertogenbosch Fietsen","16.73","574","40:05","151","168","4.1","--","--","25.0","33.5","5","10","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-07-24 07:57:39,false,"Zaltbommel Fietsen","16.79","564","40:28","146","175","4.4","--","--","24.9","35.0","6","4","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-07-23 08:16:02,false,"Zaltbommel Hardlopen","12.14","775","54:40","150","178","5.0","179","204","4:30","3:38","9","7","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-07-18 17:36:06,false,"'s-Hertogenbosch Fietsen","16.74","396","39:28","121","162","2.4","--","--","25.5","33.8","3","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-07-18 08:07:19,false,"Zaltbommel Fietsen","16.80","446","38:07","137","181","3.6","--","--","26.4","36.4","12","7","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-07-16 08:16:50,false,"Zaltbommel Hardlopen","12.13","745","59:28","137","167","3.7","171","195","4:54","4:07","12","12","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-07-10 17:37:43,false,"'s-Hertogenbosch Fietsen","16.77","367","39:45","115","142","2.1","--","--","25.3","34.1","4","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-07-10 07:46:42,false,"Zaltbommel Fietsen","16.78","322","38:17","111","134","1.7","--","--","26.3","38.5","13","9","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-07-08 19:07:52,false,"Zaltbommel Hardlopen","13.10","839","1:01:16","147","170","4.6","175","203","4:41","3:48","14","12","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-07-04 20:24:49,false,"Zaltbommel Hardlopen","8.82","541","41:53","142","156","3.7","173","192","4:45","4:04","6","4","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-07-02 08:00:59,false,"Zaltbommel Hardlopen","12.38","777","55:44","151","176","5.0","176","201","4:30","3:45","7","7","1.26","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-06-27 21:04:18,false,"Zaltbommel Hardlopen","5.28","333","26:19","135","172","3.0","167","173","4:59","4:32","4","4","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-06-24 07:18:02,false,"Zaltbommel Hardlopen","17.55","1,170","1:22:46","152","187","5.0","175","182","4:43","4:20","20","20","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-06-19 17:54:23,false,"'s-Hertogenbosch Fietsen","16.75","360","40:34","115","154","2.0","--","--","24.8","33.9","2","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-06-19 07:56:56,false,"Zaltbommel Fietsen","16.83","370","39:53","116","165","2.0","--","--","25.3","34.6","12","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-06-17 19:56:28,false,"Zaltbommel Hardlopen","12.14","799","56:23","151","167","4.8","176","196","4:39","3:58","6","6","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-06-14 21:36:09,false,"Zaltbommel Hardlopen","6.04","388","32:37","135","160","3.0","160","197","5:24","3:30","6","6","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-06-13 18:00:07,false,"'s-Hertogenbosch Fietsen","16.71","446","40:16","128","176","2.7","--","--","24.9","33.5","3","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-06-13 08:56:24,false,"Zaltbommel Fietsen","16.78","408","38:16","125","172","2.5","--","--","26.3","37.6","8","4","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-06-11 08:12:08,false,"Zaltbommel Hardlopen","12.13","824","57:09","151","176","5.0","174","186","4:43","4:20","10","8","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-06-04 11:35:10,false,"Zaltbommel Fietsen","28.96","541","2:02:33","87","138","1.2","--","--","14.2","28.2","19","16","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-06-04 08:10:03,false,"Zaltbommel Hardlopen","12.03","778","56:39","147","172","4.6","172","196","4:42","3:45","15","14","1.23","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-05-31 20:37:12,false,"Zaltbommel Hardlopen","7.40","497","41:59","135","161","3.1","157","197","5:40","3:37","7","7","1.11","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-05-28 07:55:31,false,"Zaltbommel Hardlopen","11.24","712","53:20","144","164","4.4","173","199","4:45","3:47","15","12","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
hiking,2017-05-26 12:00:00,false,"Durbuy Bende Wandelen","10.85","1,047","3:21:10","96","178","2.0","113","167","18:32","6:28","254","282","0.48","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-05-23 18:04:25,false,"'s-Hertogenbosch Fietsen","16.66","579","43:10","145","183","4.0","--","--","23.2","30.5","2","4","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-05-23 09:07:29,false,"Zaltbommel Fietsen","16.76","404","38:23","126","168","2.4","--","--","26.2","36.0","12","7","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-05-21 07:44:15,false,"Zaltbommel Hardlopen","16.05","1,098","1:15:29","153","184","5.0","175","191","4:42","4:19","14","14","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-05-15 17:33:52,false,"'s-Hertogenbosch Fietsen","16.70","361","38:58","116","137","2.1","--","--","25.7","33.7","4","7","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-05-15 08:04:26,false,"Zaltbommel Fietsen","16.80","530","40:27","145","184","3.6","--","--","24.9","34.6","9","4","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-05-13 21:48:28,false,"Zaltbommel Hardlopen","3.96","260","18:00","152","167","3.3","176","182","4:33","4:12","2","3","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-05-13 21:01:18,false,"Zaltbommel Hardlopen","7.57","486","34:49","147","162","4.2","175","201","4:36","3:50","10","6","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-05-10 21:11:58,false,"Zaltbommel Hardlopen","7.17","486","34:21","148","178","4.3","174","182","4:47","4:18","9","9","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-05-07 07:59:33,false,"Zaltbommel Hardlopen","10.42","675","51:05","140","168","4.4","171","191","4:54","3:38","10","9","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
other,2017-05-03 10:38:39,false,"Bayirkozağaci Overig","4.93","153","32:14","84","140","1.4","--","--","9.2","36.0","17","144","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
other,2017-05-01 08:50:57,false,"Türkler Overig","0.06","13","6:45.8","61","77","1.0","--","--","0.6","--","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-04-26 07:33:24,false,"Zaltbommel Hardlopen","10.25","697","49:31","147","180","4.5","171","197","4:50","3:45","12","10","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
hiking,2017-04-24 12:18:45,false,"Hooghalen Wandelen","7.29","332","2:51:18","63","116","1.0","110","132","23:30","2:45","34","42","0.39","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-04-23 07:44:16,false,"Zaltbommel Hardlopen","12.15","797","55:09","151","173","5.0","177","197","4:32","3:26","11","10","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2017-04-16 08:19:30,false,"Zaltbommel Hardlopen","12.80","842","1:06:54","142","165","3.8","163","231","5:14","3:22","9","9","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2017-04-11 17:38:56,false,"'s-Hertogenbosch Fietsen","16.65","434","42:16","122","146","2.4","--","--","23.6","34.9","7","10","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
