Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gem. slagen,[],Gemiddeld tempo,Beste tempo,Stijging,Hoogteverlies,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. GCT balans,Gem. slagen,[],Normalized Power® (NP®),L/R-balans,Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Vermogen,Max. vermogen,Totaal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Max diepte,Bodemtijd,Minimale watertemperatuur,Gastype,Oppervlakte-interval,Decompressie,Gewicht,Stroming,Oppervlakteomstandigheden,Watertype
lap_swimming,2018-07-23 08:11:52,false,"Baanzwemmen","1,020","193","33:04","--","--","0.0","--","--","3:12","1:03","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","859","55","26","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
hiking,2018-07-22 13:04:38,false,"Corte bergwandeling","0.82","62","12:40","80","104","1.1","112","202","15:27","8:51","100","6","0.58","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
lap_swimming,2018-07-21 08:09:50,false,"Baanzwemmen","1,000","177","33:24","--","--","0.0","--","--","3:20","0:57","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","835","57","25","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-07-20 07:20:05,false,"Belgodère Hardlopen","8.04","526","39:38","145","170","3.7","173","189","4:56","4:10","58","57","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
lap_swimming,2018-07-19 08:16:51,false,"Baanzwemmen","780","144","31:19","--","--","0.0","--","--","3:27","1:03","--","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","663","59","25","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-07-18 08:10:49,false,"Belgodère Hardlopen","8.47","564","45:54","139","158","3.2","168","237","5:25","4:26","45","40","1.10","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
running,2018-07-14 08:40:31,false,"Zaltbommel Hardlopen","11.96","750","53:34","148","167","4.2","180","195","4:29","3:45","12","10","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-07-10 16:52:54,false,"'s-Hertogenbosch Fietsen","17.10","478","43:15","116","135","1.8","--","--","23.7","35.8","12","16","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-07-10 07:24:09,false,"Zaltbommel Fietsen","16.77","488","36:12","125","144","2.1","--","--","27.8","39.1","18","13","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
cycling,2018-07-09 17:42:29,false,"'s-Hertogenbosch Fietsen","16.74","488","39:57","121","134","1.9","--","--","25.1","33.2","7","10","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","Nee","--","--","--","--"
